,ID,Name,Position,Overall,Potential,BS,IR,PAC,SHO,PAS,DRI,DEF,PHY,Value,Wage,TotalStats
89,189509, Thiago,CM CDM,85,85,443,3 ★,64,72,85,90,70,62,€52.5M,€150K,2179
90,211300, A. Martial,ST,83,87,443,3 ★,89,81,74,87,41,71,€52.5M,€140K,2054
91,216460, J. Giménez,CB,84,88,392,2 ★,67,45,57,54,86,83,€52.5M,€71K,1785
92,231943, Richarlison,ST LW,81,88,451,1 ★,83,79,73,83,53,80,€52M,€90K,2112
93,204923, M. Sabitzer,CM CDM CAM,84,86,469,3 ★,80,83,81,80,67,78,€52M,€81K,2227
94,221363, D. van de Beek,CM CAM,83,87,459,3 ★,70,80,78,79,72,80,€52M,€125K,2175
95,212194, J. Brandt,CAM CM CF,83,87,441,3 ★,81,77,82,87,48,66,€52M,€68K,2063
96,229880, A. Wan-Bissaka,RB RWB,83,88,438,1 ★,86,51,68,79,80,74,€52M,€115K,1991
97,224232, N. Barella,CM CAM,81,88,455,2 ★,78,67,79,82,74,75,€51.5M,€90K,2145
98,180206, M. Pjanić,CM,85,85,449,3 ★,67,68,87,85,75,67,€51.5M,€220K,2181
99,241852, M. Diaby,LM LW,81,88,415,1 ★,94,66,74,85,43,53,€51M,€54K,1881
100,208830, J. Vardy,ST,87,87,449,3 ★,88,85,66,79,56,75,€51M,€170K,2134
101,176580, L. Suárez,ST,87,87,459,5 ★,70,90,82,83,51,83,€51M,€115K,2316
102,238794, Vinícius Jr.,LW,80,93,417,2 ★,95,69,71,87,29,66,€50M,€95K,1916
103,228618, F. Mendy,LB,83,88,471,1 ★,92,64,76,79,78,82,€49.5M,€160K,2141
104,225100, J. Gomez,CB,83,88,410,2 ★,82,30,66,69,83,80,€49.5M,€95K,1824
105,189332, Jordi Alba,LB,86,86,469,3 ★,87,69,81,83,77,72,€49.5M,€220K,2216
106,212190, N. Süle,CB,83,88,382,2 ★,67,42,59,49,85,80,€49.5M,€77K,1686
107,209889, R. Guerreiro,LM LB CM,84,85,455,3 ★,74,77,84,88,75,57,€49.5M,€86K,2159
108,211688, Gayà,LB LM LWB,83,88,453,2 ★,83,61,77,80,79,73,€49.5M,€46K,2097
109,209989, T. Partey,CM,84,85,476,2 ★,71,74,82,81,82,86,€48M,€120K,2197
110,226753, A. Onana,GK,84,88,483,3 ★,84,80,87,86,63,83,€48M,€18K,1490
111,226271, Fabián,CM,82,88,444,1 ★,63,78,78,83,74,68,€48M,€70K,2105
112,191043, Alex Sandro,LB LM,85,85,465,3 ★,81,65,77,80,81,81,€47.5M,€120K,2178
113,226161, Marcos Llorente,CM RM ST,83,86,483,1 ★,85,77,79,82,78,82,€47.5M,€71K,2214
114,229261, D. Zakaria,CDM CB,83,87,465,1 ★,83,64,75,77,81,85,€47.5M,€45K,2066
115,207410, M. Kovačić,CM CDM,83,86,454,3 ★,75,69,83,88,69,70,€47M,€120K,2135
116,225953, S. Bergwijn,LM LW RM,82,87,439,2 ★,87,79,77,85,39,72,€47M,€95K,2043
117,241461, Ferran Torres,RW LW ST,80,88,417,1 ★,83,77,78,81,34,64,€46.5M,€100K,1951
118,193080, De Gea,GK,86,86,475,4 ★,88,81,78,89,58,81,€46.5M,€150K,1448
119,188377, K. Walker,RB,85,85,471,3 ★,92,63,76,77,80,83,€46.5M,€170K,2195
120,224293, Rúben Neves,CM,82,87,441,2 ★,61,75,84,77,71,73,€46M,€89K,2158
121,192563, B. Leno,GK,85,87,473,3 ★,85,82,80,86,56,84,€46M,€105K,1371
122,220814, L. Hernández,LB CB,83,86,434,3 ★,77,54,70,71,83,79,€46M,€77K,2006
123,226226, G. Lo Celso,CM CAM,82,87,461,1 ★,77,77,82,85,67,73,€46M,€95K,2178
124,200458, L. Digne,LB,84,85,462,2 ★,78,69,80,79,80,76,€45.5M,€110K,2218
125,210413, A. Romagnoli,CB,83,87,398,2 ★,70,40,56,69,85,78,€45.5M,€51K,1782
126,193165, J. Corona,RM RB,84,84,455,3 ★,84,68,78,88,77,60,€45M,€25K,2192
127,229558, D. Upamecano,CB,80,90,410,1 ★,78,40,62,68,80,82,€44.5M,€38K,1807
128,188350, M. Reus,CAM CF,85,85,442,4 ★,78,86,84,85,46,63,€44.5M,€95K,2154
129,212462, Alex Telles,LB,84,85,476,3 ★,83,74,84,80,79,76,€44.5M,€145K,2275
130,189513, Parejo,CM,85,85,444,2 ★,50,83,90,81,71,69,€44M,€59K,2170
131,210514, João Cancelo,RB LB,83,86,466,2 ★,86,71,79,83,77,70,€43.5M,€140K,2189
132,220834, Marco Asensio,LW RW,82,86,427,3 ★,79,80,81,83,43,61,€43.5M,€160K,2023
133,211117, D. Alli,CAM CM ST,82,86,458,3 ★,69,80,78,82,71,78,€43.5M,€95K,2170
134,216594, N. Fekir,CAM RM ST,83,84,446,3 ★,79,82,81,87,38,79,€43M,€38K,2105
135,245279, Reguilón,LB,82,87,440,1 ★,86,55,73,78,78,70,€43M,€85K,2023
136,216352, M. Brozović,CDM CM,84,85,455,2 ★,63,74,80,81,79,78,€43M,€125K,2176
137,233064, M. Mount,CAM CM LW,80,87,419,1 ★,74,77,79,80,48,61,€43M,€70K,1994
138,197781, Isco,CAM CM LW,84,84,433,3 ★,68,75,82,90,59,59,€42.5M,€210K,2078
139,212151, T. Strakosha,GK,83,88,453,1 ★,86,79,75,88,44,81,€42.5M,€58K,1224
140,190460, C. Eriksen,CAM CM,84,84,434,3 ★,72,79,88,81,53,61,€42.5M,€145K,2073
141,199451, W. Ben Yedder,ST,84,84,436,2 ★,82,83,77,87,39,68,€42M,€90K,2093
142,205600, S. Umtiti,CB,83,86,426,3 ★,66,62,69,67,83,79,€42M,€170K,2051
143,204838, R. Jiménez,ST,84,84,450,3 ★,78,82,76,82,49,83,€42M,€140K,2119
144,235569, T. Ndombele,CM CDM CAM,80,87,452,1 ★,74,68,81,88,69,72,€42M,€82K,2108
145,225850, P. Kimpembe,CB,82,87,416,2 ★,73,39,68,69,83,84,€41.5M,€75K,1899
146,216393, Y. Tielemans,CM,82,85,445,2 ★,64,78,83,79,70,71,€41.5M,€89K,2157
147,227796, C. Pulisic,LW RW LM,81,87,412,3 ★,89,70,72,85,37,59,€41.5M,€83K,1946
148,221479, D. Calvert-Lewin,ST,81,87,423,1 ★,84,78,64,77,39,81,€41M,€90K,1966
149,212523, Anderson Talisca,ST RM,82,85,456,2 ★,80,83,81,83,54,75,€40.5M,€39K,2174
150,211256, N. Tagliafico,LB,84,84,449,3 ★,82,56,74,76,82,79,€40.5M,€27K,2104
151,197965, Pizzi,RM CM,84,84,452,3 ★,75,78,83,83,65,68,€40.5M,€25K,2167
152,226166, N. Mukiele,RB CB RM,80,87,423,1 ★,83,42,69,72,80,77,€40.5M,€46K,1950
153,224411, Gonçalo Guedes,LM ST CAM,81,87,425,2 ★,86,79,75,81,36,68,€40.5M,€39K,1990
154,214997, A. Correa,RM ST,82,85,449,1 ★,84,80,75,86,54,70,€40.5M,€65K,2102
155,240130, Éder Militão,CB,80,87,427,1 ★,78,50,66,71,81,81,€40M,€115K,1988
156,198176, S. de Vrij,CB,84,85,400,3 ★,68,41,62,68,86,75,€40M,€130K,1823
157,225375, K. Laimer,CDM CM RB,82,86,466,1 ★,85,68,78,78,80,77,€40M,€53K,2149
158,213648, P. Højbjerg,CDM CM,82,86,445,2 ★,61,70,77,76,79,82,€40M,€85K,2091
159,244260, Dani Olmo,CAM CF,79,87,414,1 ★,68,76,77,83,50,60,€39.5M,€48K,2003
160,198717, W. Zaha,CF LM,83,83,436,2 ★,90,77,72,88,34,75,€39.5M,€89K,1970
161,232293, V. Osimhen,ST,79,87,420,1 ★,87,79,63,73,39,79,€39.5M,€54K,1944
162,240243, Matheus Cunha,CAM ST LM,79,87,418,1 ★,79,80,73,84,32,70,€39.5M,€37K,1982
163,201153, Morata,ST,83,83,423,3 ★,81,80,72,82,31,77,€39.5M,€80K,1942
164,227928, Nélson Semedo,RWB RB,83,84,450,2 ★,89,57,69,83,77,75,€39M,€100K,2054
165,222716, Everton,LM,81,86,411,1 ★,86,75,73,85,32,60,€39M,€17K,1940
166,219693, Diego Carlos,CB,83,85,419,2 ★,77,47,63,67,82,83,€38.5M,€39K,1935
167,237692, P. Foden,CAM CM LW,79,88,417,1 ★,75,71,77,82,56,56,€38.5M,€86K,1970
168,189575, Muniain,LW CAM RW,83,83,434,2 ★,81,75,80,87,51,60,€38.5M,€41K,2048
169,251573, Renan Lodi,LB,81,87,458,1 ★,84,67,76,81,75,75,€38.5M,€49K,2152
170,208574, F. Kostić,LM LWB,83,83,474,2 ★,88,76,79,83,68,80,€38.5M,€45K,2212
171,203486, T. Hazard,LM CF,83,83,447,2 ★,84,77,81,86,52,67,€38.5M,€79K,2106
172,216547, Rafa,LM RM,83,83,430,2 ★,94,73,74,87,50,52,€38.5M,€23K,2002
173,255475, Antony,RW LW,79,88,416,1 ★,90,70,71,84,37,64,€38.5M,€17K,1931
174,205069, Juan Bernat,LB LM,83,84,450,2 ★,81,64,79,83,76,67,€38M,€95K,2125
175,243812, Rodrygo,RW,79,90,405,1 ★,87,76,70,83,32,57,€38M,€90K,1929
176,208333, E. Can,CM CB CDM,82,84,482,2 ★,74,78,79,80,84,87,€37.5M,€72K,2265
177,184087, T. Alderweireld,CB,85,85,422,3 ★,62,55,72,67,87,79,€37M,€130K,2028
178,220697, J. Maddison,CAM CM LW,81,85,430,1 ★,75,76,84,83,54,58,€37M,€82K,2070
179,239818, Rúben Dias,CB,81,87,386,1 ★,65,38,55,61,83,84,€37M,€105K,1761
180,233419, Raphinha,RM RW,81,85,443,1 ★,91,75,74,83,49,71,€37M,€100K,2071
181,208093, Gerard Moreno,ST RM CF,83,83,436,1 ★,77,84,76,80,46,73,€37M,€56K,2073
182,247263, E. Tapsoba,CB,79,88,410,1 ★,74,52,63,63,80,78,€37M,€42K,1855
183,205070, Portu,RW RM CF,83,83,470,1 ★,90,79,81,82,59,79,€36.5M,€50K,2192
184,215333, D. Zapata,ST,83,83,415,2 ★,75,81,60,78,37,84,€36.5M,€87K,1894
185,189242, Coutinho,CAM LW CM,83,83,433,4 ★,72,79,82,89,52,59,€36.5M,€190K,2103
186,205632, L. Ocampos,RW LW,82,83,473,2 ★,82,83,78,83,63,84,€36.5M,€40K,2216
187,197445, D. Alaba,CB LB,84,84,466,4 ★,77,70,81,79,83,76,€36.5M,€105K,2248
188,230481, Ronaldo Cabrais,RW,83,83,439,1 ★,88,77,83,84,35,72,€36.5M,€53K,2098
189,177003, L. Modrić,CM,87,87,463,4 ★,73,76,89,88,71,66,€36.5M,€260K,2250
190,225193, Merino,CM,81,85,466,1 ★,72,76,79,82,79,78,€36.5M,€33K,2200
191,205498, Jorginho,CM CDM,83,83,429,2 ★,55,65,84,80,72,73,€36.5M,€125K,2111
192,188152, Oscar,CAM CM LW,83,83,446,3 ★,78,79,83,83,58,65,€36.5M,€25K,2141
193,185122, P. Gulácsi,GK,85,85,464,2 ★,84,85,82,86,43,84,€36M,€65K,1315
194,233306, D. Henderson,GK,80,87,439,1 ★,80,80,70,83,49,77,€36M,€70K,1216
195,190483, Douglas Costa,LM RW LW,83,83,436,3 ★,92,73,79,90,43,59,€35.5M,€105K,2066
196,220971, N. Keïta,CM,81,85,439,2 ★,71,73,76,87,65,67,€35.5M,€95K,2080
197,186942, I. Gündoğan,CM CDM,83,83,451,3 ★,66,74,84,84,72,71,€35.5M,€160K,2158
198,234612, J. Ikoné,RM CAM ST,79,86,409,1 ★,89,70,74,83,33,60,€35.5M,€36K,1898
199,199914, Allan,CM CDM,83,83,468,2 ★,73,71,77,82,83,82,€35.5M,€115K,2155
200,233731, A. Isak,ST,79,86,403,1 ★,82,81,65,78,28,69,€35M,€28K,1862
201,213565, T. Lemar,LM CAM RM,81,84,441,3 ★,79,76,81,84,59,62,€35M,€54K,2130
202,205678, E. Višća,RM,83,83,438,2 ★,88,77,79,82,47,65,€35M,€59K,2083
203,173731, G. Bale,RM RW,83,83,461,4 ★,85,84,82,80,58,72,€35M,€185K,2204
204,206517, J. Grealish,LW CAM CM,81,84,427,1 ★,78,74,82,86,46,61,€35M,€70K,1981
205,215330, J. Correa,CF ST CAM,81,84,430,1 ★,84,75,77,86,39,69,€34.5M,€73K,1972
206,175943, D. Mertens,CF ST CAM,85,85,423,3 ★,86,82,80,89,35,51,€34.5M,€115K,2023
207,229984, B. Chilwell,LB,81,85,432,1 ★,76,52,74,78,77,75,€34.5M,€79K,2035
208,215698, M. Maignan,GK,82,86,453,1 ★,80,80,82,83,46,82,€34.5M,€31K,1313
209,197061, J. Matip,CB,83,84,405,2 ★,60,46,68,68,85,78,€34.5M,€115K,1870
210,220651, Angeliño,LB LM LWB,81,85,454,2 ★,74,70,82,82,76,70,€34.5M,€105K,2184
211,236792, T. Souček,CDM CM,81,86,443,1 ★,65,69,73,73,80,83,€34.5M,€46K,2075
212,226110, N. Pépé,RM RW,81,84,424,1 ★,89,77,75,84,33,66,€34M,€90K,1997
213,192629, Iago Aspas,ST RW,84,84,429,2 ★,82,85,78,86,35,63,€34M,€46K,2063
214,237942, P. Estupiñán,LB LWB,79,86,403,1 ★,83,32,66,73,74,75,€34M,€29K,1836
215,216201, Iñaki Williams,ST RW,81,84,443,2 ★,94,79,72,78,39,81,€34M,€35K,2044
216,244369, V. Tsygankov,RM,80,86,418,1 ★,85,73,78,80,45,57,€34M,€1K,1954
217,200647, J. Iličić,CF ST,84,84,435,3 ★,70,86,84,85,43,67,€34M,€90K,2041
218,241095, N. Vlašić,CAM,80,86,438,1 ★,83,76,77,83,48,71,€34M,€47K,2022
219,223697, R. Gosens,LM,82,82,469,1 ★,83,74,78,77,77,80,€34M,€68K,2198
220,232411, C. Nkunku,CAM ST,80,86,451,1 ★,78,74,80,85,69,65,€34M,€51K,2119
221,228093, M. Thuram,LM ST,80,86,439,1 ★,84,80,70,80,48,77,€34M,€39K,1978
222,208418, Y. Carrasco,LM,82,82,437,3 ★,91,81,75,84,41,65,€33.5M,€68K,2046
223,216388, A. Saint-Maximin,LM LW ST,80,86,412,2 ★,93,70,72,88,25,64,€33.5M,€43K,1874
224,204639, S. Savić,CB,83,84,372,2 ★,65,35,57,56,85,74,€33.5M,€71K,1720
225,234378, D. Rice,CDM CM CB,79,86,399,1 ★,66,44,65,69,78,77,€33.5M,€31K,1819
226,224458, Diogo Jota,LW ST CF,80,86,448,2 ★,84,78,71,85,53,77,€33.5M,€90K,2089
227,155862, Sergio Ramos,CB,89,89,463,4 ★,71,70,76,73,88,85,€33.5M,€300K,2258
228,223959, L. Torreira,CDM CM,81,85,448,2 ★,74,67,75,79,79,74,€33.5M,€74K,2102
229,224334, M. Acuña,LB LM,83,83,478,2 ★,76,74,82,86,78,82,€33M,€41K,2280
230,199564, Sergi Roberto,RB CM,83,83,449,3 ★,77,63,81,78,77,73,€33M,€175K,2092
231,238476, D. Zagadou,CB,79,86,366,1 ★,59,34,61,50,81,81,€33M,€38K,1639
232,234943, F. Neuhaus,CM,80,86,429,1 ★,67,70,78,81,66,67,€33M,€39K,2009
233,232432, L. Jović,ST,80,85,406,1 ★,75,80,68,80,29,74,€33M,€140K,1915
234,229906, L. Bailey,LM LW,80,85,423,1 ★,94,76,73,83,33,64,€32.5M,€59K,1991
235,152729, Piqué,CB,86,86,422,4 ★,57,61,71,67,86,80,€32.5M,€220K,1991
236,204970, F. Thauvin,RW RM,82,82,431,2 ★,79,80,81,82,41,68,€32.5M,€59K,2070
237,189117, R. Bürki,GK,84,85,455,3 ★,85,82,72,88,47,81,€32.5M,€68K,1285
238,200949, Lucas Moura,RM CF LM,82,82,439,3 ★,91,78,72,87,43,68,€32.5M,€110K,2096
239,234742, H. Barnes,LW,80,85,416,1 ★,84,72,75,81,45,59,€32.5M,€84K,1915
240,231447, D. Malen,ST,78,86,418,2 ★,90,78,68,81,29,72,€32M,€17K,1925
241,193105, A. Areola,GK,82,86,460,2 ★,85,79,77,85,55,79,€32M,€71K,1376
242,236632, David Neres,LW RW CAM,80,85,421,3 ★,86,73,74,86,37,65,€32M,€21K,1934
243,168542, David Silva,CAM CM,86,86,421,4 ★,64,74,88,88,52,55,€32M,€58K,2060
244,239207, M. Gómez,ST,80,85,404,1 ★,68,81,68,73,32,82,€32M,€40K,1917
245,236593, C. Stengs,RW CAM,78,86,394,2 ★,76,68,76,82,33,59,€31.5M,€11K,1842
246,240950, Pedro Gonçalves,CM RW,78,87,419,1 ★,74,72,78,82,56,57,€31.5M,€14K,2008
247,235353, I. Sarr,RM ST,78,87,408,1 ★,94,77,68,81,22,66,€31.5M,€19K,1844
248,184432, Azpilicueta,RB LB,83,83,430,3 ★,67,55,77,72,83,76,€31.5M,€110K,2069
249,183512, Yuri Berchiche,LB,83,83,466,2 ★,83,68,76,76,80,83,€31.5M,€35K,2172
250,207862, M. Ginter,CB,82,83,418,3 ★,61,58,71,65,85,78,€31.5M,€48K,1934
251,200454, Paco Alcácer,ST,81,82,406,2 ★,78,84,67,80,35,62,€31M,€45K,1972
252,210455, Jonny,LWB,81,84,426,2 ★,77,53,71,76,79,70,€31M,€86K,1995
253,244778, Trincão,RW LW CAM,78,88,412,1 ★,79,73,71,83,37,69,€31M,€105K,1911
254,241486, J. Koundé,CB,80,86,397,1 ★,77,34,61,69,81,75,€31M,€22K,1822
255,247394, D. Kulusevski,RW CAM,78,88,441,1 ★,82,72,76,80,56,75,€31M,€58K,2005
256,241084, L. Díaz,LM,78,87,416,1 ★,92,76,68,79,32,69,€31M,€14K,1905
257,192984, K. Casteels,GK,83,85,455,2 ★,83,80,80,84,45,83,€31M,€53K,1299
258,192774, K. Manolas,CB,83,83,373,3 ★,82,25,42,60,85,79,€30.5M,€84K,1638
259,199434, D. Tadić,CF LW CAM,83,83,432,3 ★,66,81,84,84,43,74,€30.5M,€30K,2086
260,193301, A. Lacazette,ST,82,82,432,3 ★,76,82,74,83,44,73,€30.5M,€115K,2049
261,204311, K. Zouma,CB,81,84,400,2 ★,67,51,61,56,81,84,€30.5M,€88K,1897
262,216354, A. Kramarić,ST CAM,82,82,415,2 ★,71,85,73,85,30,71,€30.5M,€56K,2025
263,198710, J. Rodríguez,RW CAM,82,82,423,4 ★,53,86,86,86,50,62,€30.5M,€115K,2103
264,200260, S. Berghuis,RW,82,82,427,2 ★,80,82,83,82,36,64,€30.5M,€25K,2031
